iter	RMSE
0	11.2160205
1	10.34410531
2	9.629982575
3	9.047892731
4	8.581109603
5	8.200122246
6	7.894234149
7	7.66072633
8	7.465823215
9	7.311635335
10	7.192229704
11	7.099709535
12	7.022124117
13	6.96148211
14	6.913202526
15	6.872578666
16	6.839791175
17	6.814053307
18	6.790439818
19	6.77221711
20	6.755408268
21	6.740906552
22	6.725596697
23	6.71363314
24	6.703720971
25	6.69321178
26	6.684292759
27	6.676426004
28	6.668985287
29	6.661707039
30	6.654180911
31	6.647531529
32	6.640550723
33	6.634597403
34	6.628325562
35	6.621718828
36	6.61473738
37	6.609771466
38	6.604348835
39	6.598656201
40	6.594095159
41	6.589147839
42	6.584871884
43	6.579796592
44	6.574601182
45	6.570564408
46	6.567172465
47	6.561005812
48	6.556697184
49	6.55239141
50	6.548750054
51	6.543706695
52	6.540235304
53	6.536218776
54	6.53245962
55	6.529214656
56	6.524332376
57	6.520315241
58	6.517429573
59	6.514310142
60	6.511019856
61	6.506564519
62	6.503660864
63	6.500542863
64	6.497358439
65	6.493805256
66	6.490500242
67	6.487443456
68	6.484288919
69	6.480744588
70	6.477418508
71	6.474370629
72	6.472054492
73	6.469157745
74	6.46634135
75	6.463081657
76	6.458896031
77	6.455796297
78	6.45288228
79	6.450027262
80	6.447011469
81	6.444716605
82	6.442875395
83	6.440779755
84	6.437802523
85	6.435719564
86	6.433387268
87	6.431203574
88	6.428946415
89	6.427048561
90	6.425023926
91	6.423509195
92	6.421672265
93	6.419319764
94	6.417537426
95	6.415184751
96	6.413672121
97	6.411751268
98	6.409540847
99	6.407486159
100	6.405716734
101	6.404035741
102	6.401750794
103	6.399939389
104	6.398030469
105	6.396012496
106	6.39420674
107	6.392391373
108	6.390929403
109	6.389080766
110	6.387197446
111	6.385422211
112	6.383007581
113	6.381345592
114	6.3796156
115	6.377878002
116	6.375363277
117	6.371643637
118	6.369539563
119	6.367692526
120	6.365720968
121	6.363473816
122	6.360798977
123	6.359035185
124	6.357407444
125	6.354493472
126	6.352303543
127	6.350465029
128	6.347793735
129	6.346283054
130	6.344029023
131	6.342580324
132	6.3408127
133	6.339338793
134	6.337867043
135	6.336298003
136	6.334733047
137	6.333538979
138	6.331834111
139	6.330339932
140	6.329001696
141	6.327311875
142	6.325780526
143	6.324493969
144	6.322451673
145	6.320798824
146	6.319648501
147	6.318436826
148	6.316240119
149	6.315117006
150	6.313907877
151	6.312565894
152	6.3112561
153	6.309481229
154	6.308046745
155	6.30711189
156	6.305627332
157	6.30474444
158	6.303236053
159	6.30192585
160	6.300474397
161	6.298992421
162	6.297809743
163	6.29658064
164	6.295133759
165	6.292278719
166	6.290200167
167	6.289201029
168	6.285761621
169	6.284834495
170	6.283134893
171	6.282253441
172	6.281248243
173	6.279906541
174	6.278742361
175	6.277343221
176	6.275771959
177	6.27471489
178	6.273347839
179	6.272293993
180	6.271242169
181	6.269908808
182	6.268454731
183	6.267530037
184	6.266227951
185	6.264692506
186	6.263526119
187	6.262552925
188	6.261686676
189	6.260247675
190	6.258804914
191	6.257588228
192	6.255267603
193	6.254104198
194	6.25283553
195	6.251633985
196	6.250938899
197	6.249915931
198	6.248832836
199	6.247302213
200	6.246274404
201	6.245410027
202	6.243842887
203	6.241879585
204	6.24082985
205	6.239836731
206	6.238862421
207	6.237866789
208	6.236830528
209	6.235818477
210	6.233943186
211	6.232368624
212	6.231483732
213	6.230198603
214	6.229515277
215	6.228598182
216	6.227681911
217	6.22673557
218	6.225309266
219	6.224670299
