iter	Passed	Remaining
0	40	40488
1	75	37720
2	111	37169
3	146	36574
4	182	36286
5	217	36019
6	251	35734
7	289	35927
8	323	35665
9	358	35448
10	393	35351
11	426	35145
12	460	35000
13	497	35029
14	530	34833
15	562	34608
16	597	34530
17	630	34401
18	663	34283
19	699	34284
20	732	34132
21	764	33985
22	796	33848
23	828	33691
24	861	33605
25	895	33532
26	928	33467
27	959	33319
28	991	33211
29	1024	33115
30	1055	32993
31	1086	32873
32	1126	33008
33	1161	33006
34	1200	33095
35	1235	33093
36	1276	33234
37	1313	33264
38	1352	33330
39	1387	33307
40	1423	33304
41	1457	33253
42	1499	33369
43	1536	33387
44	1578	33497
45	1617	33544
46	1652	33502
47	1687	33478
48	1721	33405
49	1751	33277
50	1781	33146
51	1814	33079
52	1846	32995
53	1876	32868
54	1906	32764
55	1939	32700
56	1972	32630
57	2006	32584
58	2037	32493
59	2069	32424
60	2104	32392
61	2144	32436
62	2180	32424
63	2216	32420
64	2257	32474
65	2293	32452
66	2333	32492
67	2372	32518
68	2407	32489
69	2447	32521
70	2484	32514
71	2523	32529
72	2558	32491
73	2597	32498
74	2632	32469
75	2668	32437
76	2702	32397
77	2736	32349
78	2767	32265
79	2799	32198
80	2832	32136
81	2864	32068
82	2895	31989
83	2926	31910
84	2959	31855
85	2989	31770
86	3020	31693
87	3049	31607
88	3082	31548
89	3111	31465
90	3147	31441
91	3177	31356
92	3209	31298
93	3243	31259
94	3278	31227
95	3317	31237
96	3351	31202
97	3390	31210
98	3427	31189
99	3460	31143
100	3491	31076
101	3521	31003
102	3554	30953
103	3584	30883
104	3616	30827
105	3650	30784
106	3682	30737
107	3715	30684
108	3747	30630
109	3779	30578
110	3810	30514
111	3843	30476
112	3876	30429
113	3911	30397
114	3946	30370
115	3984	30364
116	4021	30348
117	4059	30346
118	4096	30325
119	4130	30287
120	4162	30234
121	4194	30185
122	4229	30153
123	4259	30087
124	4291	30042
125	4321	29979
126	4354	29934
127	4385	29873
128	4416	29823
129	4449	29779
130	4479	29718
131	4509	29652
132	4541	29601
133	4570	29540
134	4602	29492
135	4636	29453
136	4669	29413
137	4698	29351
138	4730	29298
139	4762	29253
140	4793	29203
141	4824	29152
142	4855	29100
143	4886	29046
144	4917	28997
145	4948	28946
146	4978	28890
147	5009	28836
148	5042	28798
149	5071	28740
150	5104	28699
151	5136	28656
152	5166	28601
153	5198	28557
154	5229	28508
155	5258	28450
156	5290	28407
157	5320	28351
158	5351	28303
159	5382	28257
160	5413	28210
161	5444	28165
162	5474	28113
163	5507	28073
164	5536	28018
165	5570	27984
166	5602	27946
167	5632	27893
168	5662	27845
169	5692	27790
170	5725	27757
171	5756	27711
172	5787	27665
173	5817	27615
174	5848	27573
175	5878	27522
176	5909	27476
177	5939	27427
178	5971	27388
179	6002	27343
180	6034	27304
181	6067	27270
182	6096	27219
183	6126	27171
184	6158	27132
185	6191	27095
186	6223	27055
187	6252	27004
188	6281	26954
189	6311	26908
190	6343	26866
191	6375	26831
192	6409	26802
193	6446	26782
194	6481	26754
195	6516	26730
196	6560	26739
197	6616	26800
198	6652	26776
199	6684	26739
200	6719	26709
201	6749	26661
202	6781	26622
203	6812	26581
204	6844	26544
205	6875	26500
206	6905	26455
207	6935	26408
208	6967	26369
209	6997	26325
210	7030	26289
211	7063	26253
212	7095	26217
213	7127	26178
214	7156	26128
215	7188	26090
